d_case_no,d_name,d_last_kno_addr,c_case_type,c_violation,c_violation_date,c_location,c_plea,c_plea_ent_by,c_status,c_so_no,c_deposit_amt,c_in_collection,c_installment_plan,j_finding,j_penalty,j_balance_due,j_date,j_due_on_date,j_branch
15000082,JNC INVESTMENTS LLC,"W186S6774 JEWEL CREST DRV, MUSKEGO, WI 53150",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-08-13 00:00:00.000000,2153 N 37 ST,No Contest,"John Bernacchi, Owner",Closed,11034671,0,No,No,Guilty,1730,0,2015-04-14,2015-07-13,1
15000083,5TH WARD PARTNERS LLC,"12908 NW SHORELAND DRV, MEQUON, WI 53097",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-01-07 00:00:00.000000,505 S 5 ST,No Contest,Richard D'Aloia,Closed,9948721,0,No,No,Guilty,330,0,2015-04-14,2015-06-15,1
15000086,HARSCO CORPORATION,"8020 Apt. 200 EXCELSIOR DRV, MADISON, WI 53717",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-08-12 00:00:00.000000,135 E PITTSBURGH AVE,No Contest,Court,Active,10390271,0,No,No,Guilty,430,430,2015-02-05,2015-04-06,3
15000087,LIR PROPERTIES LLC,"5231 WOOD LILLY LN, WATERFORD, WI 53185",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-03 00:00:00.000000,1905 S 5 PL,No Contest,bradly rozanski,Active,11067891,0,Yes,No,Guilty,950,950,2015-04-16,2015-06-15,3
15000089,JAZZY PROPERTIES LLC,"6924 COUNTY ROAD G, EGG HARBOR, WI 54209",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-08-08 00:00:00.000000,6166 N 36 ST,No Contest,"Sally Dorneden, RA",Closed,11028691,0,No,No,Guilty,780,0,2015-04-16,2015-06-15,3
15000090,NAKAYLA LLC,"2655 ARBOR DRV, BROOKFIELD, WI 53005",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-04-08 00:00:00.000000,2828 N 32 ST,No Contest,Defendant,Active,10805843,0,No,No,Guilty,330,330,2015-06-30,2015-08-31,3
15000093,JNC INVESTMENTS LLC,"W186S6774 JEWEL CREST DRV, MUSKEGO, WI 53150",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-09-30 00:00:00.000000,3643 N 24 PL,No Contest,"John Bernacchi, Owner",Closed,10482741,0,No,No,Guilty,630,0,2015-04-14,2015-07-13,1
15000107,ESPERANZA UNIDA INC,"5215 S 24 ST, Milwaukee, WI 53221",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-12 00:00:00.000000,1313 W NATIONAL AVE,No Contest,Court,Active,11086761,0,No,No,Guilty,980,980,2015-02-05,2015-04-06,3
15000108,LIVING EPISTLE CHURCH OF HOLINESS INC,"3401 N 35TH ST, MILWAUKEE, WI 53216",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-16 00:00:00.000000,3401 N 35 ST,No Contest,Court,Active,10987851,0,No,No,Guilty,880,880,2015-02-05,2015-04-06,3
15000109,MITCHELL BANK,"12400 W NATIONAL AVE, NEW BERLIN, WI 53151",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-24 00:00:00.000000,316 W LAPHAM BLV,No Contest,Defense Attorney,Closed,10946041,0,No,No,Guilty,2010,0,2015-06-30,2015-09-28,3
15000307,M&M LIMOUSINE SERVICE,"1300 RAND RD, DES PLAINES, IL 60016",Traffic citation,"Statute TR325.02(1), Fed Motor Carrier Regs (Veh Markings)",2014-12-12 22:28:00.000000,WATER ST N / JUNEAU AVE W,No Contest,Court,Closed,S2446194,86,No,No,Guilty,86,0,2015-01-27,2015-03-30,3
15000646,OCTANE CAPITAL PARTNERS LLC,"316 Apt. 446 N MILWAUKEE ST, MILWAUKEE, WI 53202",Municipal citation,"Ordinance 214-7-2-b-1, Annual Fire Inspection Required",2014-10-28 10:30:00.000000,4914 W STATE ST,No Contest,Court,Active,DNS011168201,160,No,No,Guilty,80,80,2015-04-14,2015-06-15,1
15000647,HOLT HOLDINGS LLC,"8368 S TUCKAWAY SHORES DRV, FRANKLIN, WI 53132",Municipal citation,"Ordinance 214-7-2-b-1, Annual Fire Inspection Required",2014-10-28 11:30:00.000000,5100 W CENTER ST,No Contest,Court,Active,DNS011168221,160,No,No,Guilty,160,160,2015-02-12,2015-04-13,1
15000648,HOMEPLATE ADVANCE LLC,"W7026 COTTONVILLE DRV, WAUTOMA, WI 54982",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-01-21 00:00:00.000000,2131 N 24 ST,No Contest,Court,Closed,10662271,0,No,No,Guilty,3430,0,2015-02-05,2015-04-06,3
15000649,ASSOCIATED BANK NATIONAL ASSOC,"206 N WISCONSIN ST, DE PERE, WI 54115",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-10 00:00:00.000000,829 W HISTORIC MITCHELL ST,No Contest,Defendant,Closed,11081201,0,No,No,Guilty,280,0,2015-02-05,2015-04-06,3
15000651,CARL KRUEGER PROPERTIES LLC,"6060 N 77 ST, Milwaukee, WI 53218",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-16 00:00:00.000000,6030 N 77 ST,No Contest,Defendant,Closed,10931851,0,No,No,Guilty,230,0,2015-02-12,2015-05-13,1
15000652,47 LLP,"8405 W LISBON AVE, Milwaukee, WI 53222",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-08-29 00:00:00.000000,3127 W GREENFIELD AVE,No Contest,"William Berland, RA",Closed,10423461,0,No,No,Guilty,1480,0,2015-06-23,2015-09-29,1
15000654,MILAM INC,"6388 W PIERNER PL, BROWN DEER, WI 53223",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-18 00:00:00.000000,5219 W CENTER ST,No Contest,Court,Closed,11094371,0,No,No,Guilty,380,0,2015-02-12,2015-04-13,1
15000658,GAMBRI INVESTMENTS II LLC,"9917 W LISBON AVE, Milwaukee, WI 53222",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-12-13 00:00:00.000000,3744 N 52 ST,No Contest,Court,Active,10618342,0,No,No,Guilty,680,680,2015-02-12,2015-04-13,1
15000869,BANK OF NEW YORK MELLON,"1524 S 108 ST, WEST ALLIS, WI 53214",Municipal citation,"Ordinance 200-51.7-7, Fail to Provide Access for Inspection",2014-11-11 11:30:00.000000,4117 N 44 ST,No Contest,Court,Closed,DNS011196891,502,No,No,Guilty,502,0,2015-02-19,2015-04-20,2
15000870,BANK OF AMERICA,"16001 N DALLAS PKY, ADDISON, TX 75001",Municipal citation,"Ordinance 200-51.7-7, Fail to Provide Access for Inspection",2014-09-23 10:50:00.000000,3888 N 19 ST,No Contest,Court,Closed,DNS011130391,502,No,No,Guilty,502,0,2015-02-19,2015-04-20,2
15000878,S & J RECYCLING,"27515 DURAND AVE, BURLINGTON, WI 53105",Municipal citation,"Ordinance 101-5.5-1-a, Excessive Size/Weight/Load Permit Req'd",2014-12-11 13:27:00.000000,1700 N 35TH ST,No Contest,Steven Ignaciak,Closed,61517551,321,No,No,Guilty,160,0,2015-02-20,2015-04-21,1
